City,State,Value,Count,Type,Region
Lawrence,Massachusetts,Gunshot,1,Cause,City
Lawton,Oklahoma,Gunshot,2,Cause,City
Layton,Utah,Gunshot,1,Cause,City
League City,Texas,Gunshot,3,Cause,City
Lee's Summit,Missouri,Gunshot,1,Cause,City
Lehigh Acres,Florida,Vehicle,1,Cause,City
Lincoln,Nebraska,Gunshot,6,Cause,City
Little Rock,Arkansas,Gunshot,7,Cause,City
Little Rock,Arkansas,Vehicle,2,Cause,City
Livermore,California,Gunshot,2,Cause,City
Livonia,Michigan,Gunshot,1,Cause,City
Long Beach,California,Gunshot,16,Cause,City
Long Beach,California,Tasered,2,Cause,City
Long Beach,California,Vehicle,1,Cause,City
Longmont,Colorado,Gunshot,2,Cause,City
Longview,Texas,Gunshot,2,Cause,City
Lorain,Ohio,Vehicle,1,Cause,City
Los Angeles,California,Gunshot,65,Cause,City
Los Angeles,California,Tasered,3,Cause,City
Los Angeles,California,Vehicle,6,Cause,City
Loveland,Colorado,Gunshot,2,Cause,City
Lowell,Massachusetts,Gunshot,1,Cause,City
Lubbock,Texas,Tasered,1,Cause,City
Lubbock,Texas,Vehicle,2,Cause,City
Lynchburg,Virginia,Gunshot,1,Cause,City
Lynn,Massachusetts,Gunshot,4,Cause,City
Lynwood,California,Gunshot,1,Cause,City
Madison,Wisconsin,Gunshot,3,Cause,City
Manteca,California,Vehicle,1,Cause,City
Marysville,Washington,Gunshot,1,Cause,City
McKinney,Texas,Gunshot,1,Cause,City
Medford,Oregon,Gunshot,3,Cause,City
Melbourne,Florida,Gunshot,2,Cause,City
Memphis,Tennessee,Gunshot,14,Cause,City
Merced,California,Gunshot,1,Cause,City
Meridian,Idaho,Gunshot,2,Cause,City
Mesa,Arizona,Gunshot,19,Cause,City
Mesquite,Texas,Gunshot,1,Cause,City
Metairie,Louisiana,Gunshot,2,Cause,City
Metairie,Louisiana,Tasered,1,Cause,City
Metairie,Louisiana,Vehicle,1,Cause,City
Miami,Florida,Asphyxiated/Restrained,1,Cause,City
Miami,Florida,Gunshot,22,Cause,City
Miami,Florida,Tasered,3,Cause,City
Miami,Florida,Vehicle,3,Cause,City
Miami Beach,Florida,Gunshot,4,Cause,City
Miami Gardens,Florida,Gunshot,3,Cause,City
Midland,Texas,Gunshot,5,Cause,City
Milwaukee,Wisconsin,Gunshot,13,Cause,City
Milwaukee,Wisconsin,Vehicle,7,Cause,City
Minneapolis,Minnesota,Gunshot,4,Cause,City
Minneapolis,Minnesota,Vehicle,5,Cause,City
Mission,Texas,Gunshot,3,Cause,City
Missoula,Montana,Gunshot,1,Cause,City
Missouri City,Texas,Gunshot,3,Cause,City
Mobile,Alabama,Gunshot,6,Cause,City
Modesto,California,Asphyxiated/Restrained,1,Cause,City
Modesto,California,Gunshot,7,Cause,City
Modesto,California,Tasered,1,Cause,City
Modesto,California,Vehicle,1,Cause,City
Montgomery,Alabama,Gunshot,3,Cause,City
Moreno Valley,California,Gunshot,2,Cause,City
Moreno Valley,California,Vehicle,1,Cause,City
Muncie,Indiana,Gunshot,3,Cause,City
Murfreesboro,Tennessee,Gunshot,2,Cause,City
Nampa,Idaho,Gunshot,2,Cause,City
Nampa,Idaho,Vehicle,1,Cause,City
Napa,California,Gunshot,4,Cause,City
Naperville,Illinois,Vehicle,1,Cause,City
Nashua,New Hampshire,Gunshot,1,Cause,City
New Bedford,Massachusetts,Gunshot,1,Cause,City
New Britain,Connecticut,Gunshot,1,Cause,City
New Haven,Connecticut,Vehicle,3,Cause,City
New Orleans,Louisiana,Gunshot,10,Cause,City
New Orleans,Louisiana,Vehicle,3,Cause,City
New York,New York,Asphyxiated/Restrained,1,Cause,City
New York,New York,Gunshot,5,Cause,City
New York,New York,Tasered,1,Cause,City
Newark,New Jersey,Gunshot,9,Cause,City
Newark,New Jersey,Vehicle,5,Cause,City
Newport Beach,California,Gunshot,1,Cause,City
Newport News,Virginia,Gunshot,3,Cause,City
Norfolk,Virginia,Gunshot,7,Cause,City
Norfolk,Virginia,Vehicle,1,Cause,City
Norman,Oklahoma,Gunshot,3,Cause,City
North Charleston,South Carolina,Gunshot,4,Cause,City
North Charleston,South Carolina,Vehicle,3,Cause,City
North Las Vegas,Nevada,Gunshot,4,Cause,City
North Little Rock,Arkansas,Gunshot,2,Cause,City
North Little Rock,Arkansas,Vehicle,1,Cause,City
Norwalk,California,Gunshot,2,Cause,City
Norwalk,Connecticut,Gunshot,1,Cause,City
Norwalk,Connecticut,Vehicle,1,Cause,City
O'Fallon,Missouri,Gunshot,1,Cause,City
O'Fallon,Missouri,Vehicle,1,Cause,City
Oakland,California,Asphyxiated/Restrained,1,Cause,City
Oakland,California,Gunshot,10,Cause,City
Oakland,California,Tasered,1,Cause,City
Oceanside,California,Gunshot,3,Cause,City
Odessa,Texas,Gunshot,5,Cause,City
Ogden,Utah,Gunshot,3,Cause,City
Ogden,Utah,Tasered,1,Cause,City
Oklahoma City,Oklahoma,Asphyxiated/Restrained,1,Cause,City
Oklahoma City,Oklahoma,Gunshot,24,Cause,City
Oklahoma City,Oklahoma,Tasered,2,Cause,City
Oklahoma City,Oklahoma,Vehicle,7,Cause,City
Olathe,Kansas,Gunshot,2,Cause,City
Olathe,Kansas,Medical emergency,1,Cause,City
Omaha,Nebraska,Gunshot,16,Cause,City
Omaha,Nebraska,Medical emergency,2,Cause,City
Omaha,Nebraska,Tasered,1,Cause,City
Ontario,California,Gunshot,5,Cause,City
Ontario,California,Vehicle,1,Cause,City
Orange,California,Gunshot,1,Cause,City
Orange,California,Vehicle,3,Cause,City
Orem,Utah,Gunshot,1,Cause,City
Orem,Utah,Vehicle,1,Cause,City
Orlando,Florida,Gunshot,20,Cause,City
Orlando,Florida,Vehicle,2,Cause,City
Oshkosh,Wisconsin,Gunshot,1,Cause,City
Overland Park,Kansas,Gunshot,3,Cause,City
Overland Park,Kansas,Vehicle,1,Cause,City
Oxnard,California,Gunshot,1,Cause,City
Palm Bay,Florida,Asphyxiated/Restrained,1,Cause,City
Palm Bay,Florida,Gunshot,4,Cause,City
Palmdale,California,Gunshot,3,Cause,City
Palmdale,California,Vehicle,1,Cause,City
Palo Alto,California,Gunshot,1,Cause,City
Parma,Ohio,Vehicle,2,Cause,City
Pasadena,California,Tasered,1,Cause,City
Pasadena,Texas,Gunshot,2,Cause,City
Pasco,Washington,Gunshot,1,Cause,City
Paterson,New Jersey,Gunshot,3,Cause,City
Pawtucket,Rhode Island,Gunshot,2,Cause,City
Pearland,Texas,Gunshot,3,Cause,City
Pembroke Pines,Florida,Vehicle,1,Cause,City
Peoria,Arizona,Gunshot,2,Cause,City
Peoria,Illinois,Gunshot,3,Cause,City
Perris,California,Gunshot,1,Cause,City
Perris,California,Vehicle,1,Cause,City
Pharr,Texas,Gunshot,1,Cause,City
Philadelphia,Pennsylvania,Gunshot,21,Cause,City
Philadelphia,Pennsylvania,Tasered,2,Cause,City
Philadelphia,Pennsylvania,Vehicle,3,Cause,City
Phoenix,Arizona,Asphyxiated/Restrained,1,Cause,City
Phoenix,Arizona,Gunshot,59,Cause,City
Phoenix,Arizona,Tasered,1,Cause,City
Phoenix,Arizona,Vehicle,6,Cause,City
Pittsburg,California,Gunshot,2,Cause,City
Pittsburg,California,Vehicle,1,Cause,City
Pittsburgh,Pennsylvania,Gunshot,5,Cause,City
Pittsburgh,Pennsylvania,Vehicle,1,Cause,City
Plano,Texas,Gunshot,3,Cause,City
Plantation,Florida,Gunshot,1,Cause,City
Pleasanton,California,Gunshot,2,Cause,City
Pleasanton,California,Tasered,1,Cause,City
Plymouth,Minnesota,Gunshot,1,Cause,City
Pomona,California,Gunshot,4,Cause,City
Pomona,California,Vehicle,1,Cause,City
Pompano Beach,Florida,Gunshot,3,Cause,City
Pompano Beach,Florida,Vehicle,2,Cause,City
Port St. Lucie,Florida,Gunshot,3,Cause,City
Port St. Lucie,Florida,Vehicle,1,Cause,City
Portland,Maine,Gunshot,1,Cause,City
Portland,Oregon,Gunshot,11,Cause,City
Portland,Oregon,Vehicle,1,Cause,City
Portsmouth,Virginia,Gunshot,4,Cause,City
Providence,Rhode Island,Gunshot,1,Cause,City
Providence,Rhode Island,Medical emergency,1,Cause,City
Providence,Rhode Island,Vehicle,1,Cause,City
Provo,Utah,Gunshot,1,Cause,City
Pueblo,Colorado,Gunshot,9,Cause,City
Pueblo,Colorado,Tasered,1,Cause,City
Racine,Wisconsin,Gunshot,1,Cause,City
Raleigh,North Carolina,Gunshot,2,Cause,City
Raleigh,North Carolina,Vehicle,5,Cause,City
Rancho Cordova,California,Gunshot,1,Cause,City
Rapid City,South Dakota,Gunshot,5,Cause,City
Rapid City,South Dakota,Vehicle,1,Cause,City
Reading,Pennsylvania,Gunshot,2,Cause,City
Reading,Pennsylvania,Tasered,1,Cause,City
Redding,California,Gunshot,6,Cause,City
Redlands,California,Gunshot,5,Cause,City
Redondo Beach,California,Gunshot,1,Cause,City
Redwood City,California,Gunshot,2,Cause,City
Redwood City,California,Tasered,1,Cause,City
Reno,Nevada,Gunshot,11,Cause,City
Rialto,California,Gunshot,2,Cause,City
Rialto,California,Vehicle,1,Cause,City
Richmond,California,Gunshot,2,Cause,City
Richmond,California,Vehicle,2,Cause,City
Richmond,Virginia,Gunshot,13,Cause,City
Richmond,Virginia,Vehicle,3,Cause,City
Rio Rancho,New Mexico,Gunshot,1,Cause,City
Riverside,California,Gunshot,6,Cause,City
Riverview,Florida,Gunshot,3,Cause,City
Roanoke,Virginia,Asphyxiated/Restrained,1,Cause,City
Roanoke,Virginia,Gunshot,2,Cause,City
Rochester,New York,Gunshot,4,Cause,City
Rochester,New York,Tasered,1,Cause,City
Rock Hill,South Carolina,Gunshot,1,Cause,City
Rock Hill,South Carolina,Vehicle,1,Cause,City
Rockford,Illinois,Gunshot,2,Cause,City
Rockford,Illinois,Vehicle,1,Cause,City
Roseville,California,Gunshot,1,Cause,City
Roseville,California,Vehicle,2,Cause,City
Roswell,Georgia,Vehicle,1,Cause,City
Round Rock,Texas,Gunshot,1,Cause,City
Sacramento,California,Gunshot,9,Cause,City
Sacramento,California,Medical emergency,1,Cause,City
Sacramento,California,Vehicle,2,Cause,City
Salem,Oregon,Gunshot,3,Cause,City
Salem,Oregon,Vehicle,1,Cause,City
Salinas,California,Gunshot,1,Cause,City
Salt Lake City,Utah,Gunshot,10,Cause,City
Salt Lake City,Utah,Vehicle,2,Cause,City
San Angelo,Texas,Gunshot,1,Cause,City
San Angelo,Texas,Vehicle,1,Cause,City
San Antonio,Texas,Gunshot,39,Cause,City
San Antonio,Texas,Medical emergency,2,Cause,City
San Antonio,Texas,Tasered,3,Cause,City
San Antonio,Texas,Vehicle,10,Cause,City
San Bernardino,California,Gunshot,7,Cause,City
San Bernardino,California,Vehicle,3,Cause,City
San Diego,California,Gunshot,18,Cause,City
San Francisco,California,Asphyxiated/Restrained,1,Cause,City
San Francisco,California,Gunshot,17,Cause,City
San Francisco,California,Medical emergency,1,Cause,City
San Francisco,California,Vehicle,5,Cause,City
San Jose,California,Gunshot,15,Cause,City
San Jose,California,Vehicle,1,Cause,City
San Marcos,California,Gunshot,1,Cause,City
San Marcos,California,Tasered,1,Cause,City
San Mateo,California,Gunshot,1,Cause,City
San Ramon,California,Vehicle,1,Cause,City
San Tan Valley,Arizona,Gunshot,1,Cause,City
Sandy,Utah,Gunshot,1,Cause,City
Santa Ana,California,Gunshot,11,Cause,City
Santa Ana,California,Medical emergency,1,Cause,City
Santa Ana,California,Vehicle,2,Cause,City
Santa Barbara,California,Asphyxiated/Restrained,1,Cause,City
