City,State,Type,Year,CrimePerCapita,Gini,HSPerc
,Pennsylvania,State,2017,0.058568415,0.4777,0.906
Bethlehem,Pennsylvania,Cities,2017,0.132738664,0.5014,0.871
Philadelphia,Pennsylvania,Cities,2017,0.234831921,0.5576,0.853
Pittsburgh,Pennsylvania,Cities,2017,0.457618033,0.5255,0.925
,Rhode Island,State,2017,0.103808939,0.4722,0.883
Providence,Rhode Island,Cities,2017,0.333603923,0.5431,0.834
,South Carolina,State,2017,0.173156072,0.4795,0.874
Charleston,South Carolina,Cities,2017,0.073075377,0.5004,0.945
Greenville,South Carolina,Cities,2017,0.290183106,0.5427,0.9
North Charleston,South Carolina,Cities,2017,0.089843224,0.4955,0.85
,South Dakota,State,2017,0.195477344,0.4488,0.917
Rapid City,South Dakota,Cities,2017,0.133358227,0.4887,0.91
Sioux Falls,South Dakota,Cities,2017,0.281075733,0.4391,0.944
,Tennessee,State,2017,0.199524001,0.4822,0.878
Chattanooga,Tennessee,Cities,2017,0.223772468,0.5206,0.911
Clarksville,Tennessee,Cities,2017,0.260936501,0.4371,0.91
Jackson,Tennessee,Cities,2017,0.745923528,0.5022,0.869
Knoxville,Tennessee,Cities,2017,0.266611212,0.5437,0.892
Memphis,Tennessee,Cities,2017,0.107236142,0.5241,0.854
Murfreesboro,Tennessee,Cities,2017,0.073474306,0.4351,0.914
,Texas,State,2017,0.06536041,0.4781,0.836
Abilene,Texas,Cities,2017,0.243940121,0.4527,0.857
Arlington,Texas,Cities,2017,0.176155137,0.4294,0.844
Austin,Texas,Cities,2017,0.174906297,0.4769,0.901
Beaumont,Texas,Cities,2017,0.084419531,0.4883,0.87
Cedar Park,Texas,Cities,2017,0.277227174,0.3922,0.958
Dallas,Texas,Cities,2017,0.10459071,0.5332,0.775
Denton,Texas,Cities,2017,0.292320734,0.4662,0.884
El Paso,Texas,Cities,2017,0.058083225,0.4722,0.8
Flower Mound,Texas,Cities,2017,0.399462058,0.3618,0.972
Fort Worth,Texas,Cities,2017,0.14890003,0.4368,0.812
Frisco,Texas,Cities,2017,0.057869031,0.4226,0.963
Houston,Texas,Cities,2017,0.025660381,0.5364,0.788
League City,Texas,Cities,2017,0.284762366,0.377,0.958
Lubbock,Texas,Cities,2017,0.0780229,0.5013,0.865
Mckinney,Texas,Cities,2017,0.277879667,0.4427,0.913
Odessa,Texas,Cities,2017,0.495074014,0.4071,0.807
Pearland,Texas,Cities,2017,0.084839949,0.3591,0.957
Plano,Texas,Cities,2017,0.068867441,0.4323,0.937
Round Rock,Texas,Cities,2017,0.080245873,0.3881,0.929
San Angelo,Texas,Cities,2017,0.098105581,0.4522,0.89
San Antonio,Texas,Cities,2017,0.026303468,0.4644,0.833
Temple,Texas,Cities,2017,0.267401128,0.4322,0.921
Victoria,Texas,Cities,2017,0.14589169,0.4496,0.815
,Utah,State,2017,0.238568614,0.4225,0.921
Layton,Utah,Cities,2017,0.519156889,0.351,0.954
Ogden,Utah,Cities,2017,0.458069466,0.4632,0.814
Salt Lake City,Utah,Cities,2017,0.205161873,0.4929,0.887
South Jordan,Utah,Cities,2017,0.551473123,0.3608,0.979
St. George,Utah,Cities,2017,0.476150797,0.4468,0.922
West Jordan,Utah,Cities,2017,0.086662622,0.333,0.917
,Vermont,State,2017,0.561205919,0.4525,0.926
,Virginia,State,2017,0.227862508,0.4674,0.897
Alexandria,Virginia,Cities,2017,0.315943787,0.4337,0.917
Chesapeake,Virginia,Cities,2017,0.249876103,0.4068,0.943
Hampton,Virginia,Cities,2017,0.222339156,0.4453,0.918
