cities,City,State,ginicor,hscor,articleplugin,Population,Gini,HSGrad,CrimesPerYear,CrimePerCapita,Latitude,Longitude,mostCommon
"lowell, massachusetts",Lowell,Massachusetts,-0.234,-0.03,Neither,108524,0.447,0.796,1.67,0.154,42.6389,-71.3217,Orientation
"new bedford, massachusetts",New Bedford,Massachusetts,0.168,-0.551,Neither,93447,0.466,0.699,2.67,0.285,41.6697,-70.9428,Race
"dearborn, michigan",Dearborn,Michigan,0.267,-0.151,Neither,92600,0.461,0.811,11.08,1.197,42.3127,-83.213,Race
"detroit, michigan",Detroit,Michigan,0.233,0.053,Neither,773143,0.496,0.772,22.58,0.292,42.3834,-83.1024,Race
"flint, michigan",Flint,Michigan,0.342,-0.206,Neither,105493,0.471,0.813,15.3,1.45,43.0235,-83.6921,Race
"grand rapids, michigan",Grand Rapids,Michigan,0.044,-0.452,Neither,192947,0.45,0.841,10,0.518,42.9615,-85.6557,Race
"lansing, michigan",Lansing,Michigan,-0.2,-0.139,Neither,114330,0.434,0.871,6.09,0.533,42.7142,-84.5598,Race
"southfield, michigan",Southfield,Michigan,-0.096,0.308,Neither,73764,0.435,0.922,5.18,0.702,42.4765,-83.2605,Race
"troy, michigan",Troy,Michigan,0.37,0.097,Neither,81867,0.421,0.941,4.17,0.509,42.5817,-83.1458,Race
"warren, michigan",Warren,Michigan,0.531,-0.275,Neither,134272,0.409,0.841,11.18,0.833,42.4934,-83.027,Race
"wyoming, michigan",Wyoming,Michigan,0.109,0.417,Neither,72633,0.382,0.84,3.2,0.441,42.8909,-85.7067,Race
"minneapolis, minnesota",Minneapolis,Minnesota,0.114,-0.271,Neither,394723,0.505,0.887,37.64,0.953,44.9635,-93.2679,Race
"plymouth, minnesota",Plymouth,Minnesota,-0.313,-0.201,Neither,73591,0.451,0.965,4.09,0.556,45.0225,-93.4617,Race
"st. cloud, minnesota",St. Cloud,Minnesota,0.052,0.057,Neither,66796,0.456,0.916,6.1,0.913,45.5579,-94.1632,Race
"st. paul, minnesota",St. Paul,Minnesota,-0.482,0.132,Neither,289039,0.478,0.864,15.25,0.528,44.9537,-93.09,Race
"gulfport, mississippi",Gulfport,Mississippi,0,0,Neither,70301,0.468,0.844,5.17,0.735,30.4271,-89.0703,Race
"columbia, missouri",Columbia,Missouri,0.096,-0.206,Neither,110835,0.498,0.947,3.22,0.291,38.9475,-92.3263,Race
"independence, missouri",Independence,Missouri,0.71,-0.582,Gini,116726,0.424,0.867,6.18,0.53,39.0871,-94.3503,Race
"kansas city, missouri",Kansas City,Missouri,-0.262,0.277,Neither,469382,0.475,0.877,40.73,0.868,39.1239,-94.5541,Race
"lee's summit, missouri",Lee'S Summit,Missouri,0.017,-0.568,Neither,89694,0.395,0.956,3.18,0.355,44.9537,-93.09,Race
"st. louis, missouri",St. Louis,Missouri,0.407,-0.132,Neither,331649,0.499,0.829,9.25,0.279,38.627,-90.1994,Race
"lincoln, nebraska",Lincoln,Nebraska,-0.182,-0.097,Neither,263911,0.442,0.931,28.6,1.084,40.8102,-96.6808,Race
"omaha, nebraska",Omaha,Nebraska,0.009,-0.549,Neither,437970,0.471,0.878,6.67,0.152,41.2634,-96.0453,Race
"henderson, nevada",Henderson,Nevada,0.31,-0.033,Neither,275429,0.445,0.927,4.38,0.159,36.0145,-115.0362,Race
"reno, nevada",Reno,Nevada,-0.236,-0.076,Neither,229503,0.465,0.858,2.9,0.126,39.5487,-119.8486,Race
"east orange, new jersey",East Orange,New Jersey,0,0,Neither,65308,0.444,0.828,1.2,0.184,40.7651,-74.2118,Religion
"elizabeth, new jersey",Elizabeth,New Jersey,0,0,Neither,126093,0.421,0.742,1.8,0.143,40.6655,-74.1918,Race
"jersey city, new jersey",Jersey City,New Jersey,0.362,-0.653,HS,251974,0.499,0.852,8,0.317,40.7161,-74.0683,Race
"trenton, new jersey",Trenton,New Jersey,0.536,-0.783,HS,83823,0.472,0.702,1.63,0.194,40.2237,-74.764,Race
"union city, new jersey",Union City,New Jersey,-0.033,-0.087,Neither,66132,0.441,0.676,2.33,0.353,40.7675,-74.0323,Religion
"albuquerque, new mexico",Albuquerque,New Mexico,-0.389,0.308,Neither,542657,0.461,0.878,12.73,0.235,35.1055,-106.6476,Race
"albany, new york",Albany,New York,0.197,-0.58,Neither,96891,0.481,0.888,4.5,0.464,42.6664,-73.7987,Race
"buffalo, new york",Buffalo,New York,0.035,-0.538,Neither,261791,0.505,0.828,18.6,0.71,42.9016,-78.8487,Race
"new york, new york",New York,New York,0.061,0.397,Neither,8381054,0.543,0.802,300.83,0.359,40.6943,-73.9249,Religion
"rochester, new york",Rochester,New York,0.448,-0.753,HS,208799,0.489,0.793,6.17,0.295,43.1681,-77.6162,Race
"yonkers, new york",Yonkers,New York,-0.142,0.099,Neither,199865,0.473,0.821,5.73,0.287,40.9466,-73.8674,Religion
"asheville, north carolina",Asheville,North Carolina,0.185,0.166,Neither,82991,0.476,0.91,6.09,0.734,35.5703,-82.5536,Race
"durham, north carolina",Durham,North Carolina,-0.219,-0.163,Neither,237675,0.476,0.863,5.7,0.24,35.9801,-78.9045,Race
"fayetteville, north carolina",Fayetteville,North Carolina,0.298,0.53,Neither,197191,0.44,0.907,5.44,0.276,35.0847,-78.9777,Race
"greensboro, north carolina",Greensboro,North Carolina,0.183,-0.264,Neither,272158,0.496,0.884,5.33,0.196,36.096,-79.8275,Race
"raleigh, north carolina",Raleigh,North Carolina,-0.45,0.696,HS,418751,0.467,0.908,12.89,0.308,35.8323,-78.6441,Race
"wilmington, north carolina",Wilmington,North Carolina,0,0,Neither,114414,0.522,0.913,5.67,0.495,34.21,-77.886,Race
"bismarck, north dakota",Bismarck,North Dakota,0,0,Neither,70572,0.434,0.928,4.4,0.664,46.8127,-100.7694,Race
"fargo, north dakota",Fargo,North Dakota,-0.283,-0.687,HS,104326,0.476,0.947,5,0.479,46.8654,-96.829,Race
"akron, ohio",Akron,Ohio,-0.349,-0.215,Neither,202088,0.472,0.856,9.5,0.47,41.0802,-81.5219,Race
"cincinnati, ohio",Cincinnati,Ohio,-0.257,0.835,HS,310336,0.541,0.848,19.75,0.636,39.1412,-84.506,Race
