State,Name,CrimeType,NumCrimes
pennsylvania,philadelphia,Orientation,23
pennsylvania,philadelphia,Disability,0
arizona,phoenix,Race,770
arizona,phoenix,Religion,197
arizona,phoenix,Orientation,283
arizona,phoenix,Disability,14
pennsylvania,pittsburgh,Race,81
pennsylvania,pittsburgh,Religion,11
pennsylvania,pittsburgh,Orientation,13
pennsylvania,pittsburgh,Disability,0
texas,plano,Race,20
texas,plano,Religion,7
texas,plano,Orientation,1
texas,plano,Disability,0
minnesota,plymouth,Race,22
minnesota,plymouth,Religion,10
minnesota,plymouth,Orientation,6
minnesota,plymouth,Disability,0
virginia,portsmouth,Race,34
virginia,portsmouth,Religion,3
virginia,portsmouth,Orientation,2
virginia,portsmouth,Disability,0
rhode island,providence,Race,46
rhode island,providence,Religion,20
rhode island,providence,Orientation,19
rhode island,providence,Disability,1
pennsylvania,reading,Race,9
pennsylvania,reading,Religion,1
pennsylvania,reading,Orientation,5
pennsylvania,reading,Disability,0
california,redding,Race,69
california,redding,Religion,7
california,redding,Orientation,16
california,redding,Disability,1
california,redondo beach,Race,26
california,redondo beach,Religion,3
california,redondo beach,Orientation,10
california,redondo beach,Disability,0
california,richmond,Race,21
california,richmond,Religion,0
california,richmond,Orientation,6
california,richmond,Disability,0
california,riverside,Race,111
california,riverside,Religion,24
california,riverside,Orientation,25
california,riverside,Disability,1
michigan,rochester,Race,8
michigan,rochester,Religion,0
michigan,rochester,Orientation,1
michigan,rochester,Disability,1
illinois,rockford,Race,40
illinois,rockford,Religion,6
illinois,rockford,Orientation,12
illinois,rockford,Disability,1
california,sacramento,Race,63
california,sacramento,Religion,25
california,sacramento,Orientation,69
california,sacramento,Disability,1
oregon,salem,Race,43
oregon,salem,Religion,10
oregon,salem,Orientation,18
oregon,salem,Disability,0
utah,salt lake city,Race,9
utah,salt lake city,Religion,6
utah,salt lake city,Orientation,4
utah,salt lake city,Disability,0
texas,san antonio,Race,53
texas,san antonio,Religion,14
texas,san antonio,Orientation,39
texas,san antonio,Disability,0
california,san bernardino,Race,19
california,san bernardino,Religion,1
california,san bernardino,Orientation,8
california,san bernardino,Disability,0
california,san diego,Race,193
california,san diego,Religion,79
california,san diego,Orientation,152
california,san diego,Disability,0
california,san francisco,Race,172
california,san francisco,Religion,75
california,san francisco,Orientation,182
california,san francisco,Disability,1
california,san jose,Race,113
california,san jose,Religion,49
california,san jose,Orientation,60
california,san jose,Disability,1
california,san leandro,Race,37
california,san leandro,Religion,8
california,san leandro,Orientation,9
california,san leandro,Disability,1
california,san mateo,Race,14
california,san mateo,Religion,11
california,san mateo,Orientation,8
california,san mateo,Disability,0
california,santa clarita,Race,38
california,santa clarita,Religion,6
california,santa clarita,Orientation,8
california,santa clarita,Disability,1
california,santa rosa,Race,8
california,santa rosa,Religion,4
california,santa rosa,Orientation,8
california,santa rosa,Disability,0
washington,seattle,Race,330
washington,seattle,Religion,63
washington,seattle,Orientation,147
washington,seattle,Disability,6
south dakota,sioux falls,Race,94
south dakota,sioux falls,Religion,25
south dakota,sioux falls,Orientation,19
south dakota,sioux falls,Disability,0
california,south gate,Race,6
california,south gate,Religion,4
california,south gate,Orientation,4
california,south gate,Disability,0
michigan,southfield,Race,34
michigan,southfield,Religion,14
michigan,southfield,Orientation,3
michigan,southfield,Disability,0
washington,spokane valley,Race,29
washington,spokane valley,Religion,6
washington,spokane valley,Orientation,8
washington,spokane valley,Disability,0
illinois,springfield,Race,58
illinois,springfield,Religion,0
illinois,springfield,Orientation,5
illinois,springfield,Disability,0
minnesota,st. cloud,Race,47
minnesota,st. cloud,Religion,8
minnesota,st. cloud,Orientation,4
minnesota,st. cloud,Disability,0
utah,st. george,Race,13
utah,st. george,Religion,1
utah,st. george,Orientation,2
utah,st. george,Disability,0
missouri,st. louis,Race,64
missouri,st. louis,Religion,7
missouri,st. louis,Orientation,23
missouri,st. louis,Disability,0
minnesota,st. paul,Race,109
minnesota,st. paul,Religion,19
minnesota,st. paul,Orientation,18
minnesota,st. paul,Disability,0
california,stockton,Race,29
california,stockton,Religion,5
california,stockton,Orientation,4
california,stockton,Disability,1
washington,tacoma,Race,87
washington,tacoma,Religion,11
washington,tacoma,Orientation,35
washington,tacoma,Disability,0
arizona,tempe,Race,15
arizona,tempe,Religion,9
arizona,tempe,Orientation,11
arizona,tempe,Disability,0
california,torrance,Race,13
california,torrance,Religion,5
california,torrance,Orientation,3
california,torrance,Disability,0
